avg:,,,,,,,,
-15.815,-16.075,-16.076,-15.848,-15.482,-15.983,-15.63,-15.486,-15.59
max:,,,,,,,,
0,0,0,0,0,0,0,0,0
min:,,,,,,,,
-48,-54,-45,-55,-49,-48,-44,-46,-42
DQN,Vanilla_DT_Entropy_5,Vanilla_DT_Entropy_10,Vanilla_Gini_5,Vanilla_Gini_10,EE_Force,EE_KD,EE_Ball,EE_Brute
-20,-3,-25,-15,-24,-9,-12,-18,-20
-4,-9,-5,-9,-12,-25,-10,-16,-19
-17,-6,-18,-7,-15,-14,-11,-24,-18
-9,-28,-16,-15,-15,-18,-27,-18,-28
-14,-8,-34,-26,-2,-13,-20,-12,-25
-15,-14,-18,-14,-33,-14,-16,-15,-12
-25,-19,-29,-24,-5,-15,-14,-13,-6
-8,-23,-5,-14,-14,-10,-8,-12,-11
-25,-10,-8,-34,-20,-15,-9,-35,-28
-16,-8,-11,-9,-15,-15,-13,-5,-17
-24,-4,-17,-14,-23,-28,-17,-6,-12
-20,-8,0,-32,-14,-12,-15,-3,-18
-11,-12,-28,-8,-21,-35,-10,-10,-7
-22,-6,-14,-9,-5,-34,-15,-10,-11
-20,-18,-2,-19,-21,-28,-13,-16,-11
-13,-23,-21,-17,-16,-14,-3,-28,-20
-9,-10,-13,-20,-21,-25,-15,-7,-2
-15,-7,-18,-20,-6,-14,-19,-39,-9
-8,-21,-10,-22,-4,-4,-3,-17,-3
-8,-16,-39,-23,-13,-32,-25,-23,0
-21,-3,-10,-6,-9,-8,-8,-18,-5
-32,-7,-7,-24,-27,-16,-6,-13,-3
-11,-12,-5,-9,-19,-12,-16,-4,-9
-17,-12,-10,-12,-4,-34,-19,-12,-15
-4,-26,-34,-18,-12,-9,-8,-33,-4
-14,-23,-11,-22,-20,-16,-9,-23,-9
-19,-19,-21,-10,-6,-16,-3,-18,-18
-24,-24,-8,-12,-3,-39,-4,-17,-9
-31,-23,-14,-7,-21,-27,-11,-5,-18
-20,-10,-33,-18,-6,-25,-22,-24,-13
-8,-13,-20,-9,0,-13,-18,-10,-4
-18,-6,-12,-6,-12,-10,-38,-5,-23
-12,-12,-6,-5,-5,-26,-20,-8,-13
-11,-24,-6,-8,-26,-13,-7,-12,-5
-15,-21,-24,-21,-14,-16,-4,-11,-11
-21,-23,-17,-31,-12,-1,-11,-18,-17
-28,-5,-22,-8,-18,-27,-17,-10,-13
-15,-5,-4,-22,-20,-24,-21,-8,-2
-24,-31,-11,-26,-17,-6,-21,-8,-7
-12,-13,-13,-10,-25,-17,-8,-22,-28
-19,-5,-9,-6,-35,-18,-18,-11,-3
-29,-3,-19,-20,-24,-14,-5,-9,-27
-25,-22,-32,-29,-13,-22,-19,-3,-22
-6,-6,-9,-29,-15,-20,-10,-5,-19
-19,-26,-12,-28,-31,-19,-14,-14,-4
-18,-19,-15,-3,-33,-10,-19,-22,-17
-26,-25,-11,-12,-15,-21,-8,-13,-14
-23,-20,-14,-12,-10,-9,-12,-22,-23
-21,-19,-19,-18,-15,-33,-29,-10,-8
-17,-16,-2,-24,-6,-9,-13,-13,-25
-11,-54,-12,-10,-20,-17,-16,-21,-17
-23,-8,-18,-9,-19,-22,-14,-19,-13
-15,-13,-26,-17,-13,-22,-20,-18,-20
-8,-5,-21,-2,-3,-34,-16,-7,-13
-10,-23,-21,-32,-14,-16,-7,-22,-20
-21,-5,-21,-2,-18,-9,-26,-2,-6
-17,-20,-13,-11,-4,-1,-11,-32,-26
-19,-20,-5,-4,-4,-10,-5,-10,-13
-27,-8,-12,-16,-19,-11,-5,-11,-24
-4,-9,-20,-12,-24,-17,-10,-7,-21
-20,-33,-9,-17,-10,-11,-11,-18,-23
-19,-33,-15,-55,-14,-12,-20,-18,-32
-8,-24,-5,-10,-28,-18,-15,-12,-13
-23,-10,-2,-8,-13,-31,-24,-1,-19
-24,-14,-9,-25,-23,-14,-6,-8,-26
-9,-28,-16,-14,-24,-23,-13,-7,-16
-9,-9,-10,-22,-13,-13,-6,-11,-6
-13,-15,-9,-23,-16,-24,-31,-32,-21
-13,-15,-6,-15,-13,-23,-20,-7,-7
-7,-12,-10,-29,-8,-19,-8,-24,-33
-8,-7,-15,-17,-14,-7,-33,-12,-8
-40,-23,-2,-18,-6,-9,-17,-26,-12
-27,-26,-3,-8,-28,-16,-22,-24,-13
-13,-23,-23,-23,-15,-12,-11,-4,-6
-13,-6,-11,-17,-9,-16,-14,-20,0
-8,-6,-4,-10,-6,-15,-26,-21,-19
-14,-25,-6,-16,-18,-20,-8,-14,-32
-37,-23,-7,-14,-22,-17,-20,-8,-7
-8,-26,-13,-1,-19,-21,-32,-11,-25
-18,-17,-14,-16,-24,0,-16,-18,-14
-4,-18,-28,-16,-28,-10,-17,-21,-26
-19,-18,-4,-4,-13,-18,-17,-15,-5
-22,-17,-20,-16,-12,-14,-16,-21,-24
-16,-17,-15,-6,-8,-3,-23,-14,-13
-21,-21,-7,-15,-9,-6,-19,-11,-9
-19,-11,-11,-17,-3,-24,-9,-17,-11
-12,-12,-17,-5,-24,-1,-8,-4,-21
-17,-16,-20,-20,-16,-19,-23,-4,-27
-28,-11,-22,-3,-13,-24,-19,-16,-13
-33,-16,-19,-27,-21,-9,-8,-9,-18
-8,-12,-16,-11,-31,-4,-36,-8,-26
-11,-24,-4,-7,-30,-30,-8,-8,-10
